incantation_id,type_id
1,1
2,1
3,2
4,1
2,3
5,1
6,4
7,5
2,6
2,7
8,1
9,1
10,8
11,1
12,3
13,1
14,1
15,7
16,10
17,1
18,11
2,10
2,5
19,1
20,1
21,1
22,12
2,9
23,7
24,6
25,1
26,1
27,1
28,1
29,1
30,1
31,5
32,1
33,7
34,1
2,14
35,10
36,7
37,1
38,15
39,5
40,1
41,1
42,1
43,1
44,1
45,1
46,10
47,16
48,1
49,6
50,1
51,5
52,17
53,18
54,1
55,10
56,10
57,1
58,1
59,1
60,7
61,19
62,1
63,1
64,20
65,7
66,1
67,10
68,6
69,6
70,1
71,1
72,6
73,1
74,1
75,1
76,1
77,1
78,1
79,10
80,1
2,21
81,1
82,1
83,1
84,6
85,7
86,1
87,9
88,1
89,1
90,1
91,1
92,22
93,1
94,6
95,10
96,1
97,6
98,23
99,1
100,7
101,1
102,1
103,1
104,1
105,1
106,24
107,25
108,7
2,26
109,1
110,1
111,1
112,7
113,7
114,1
115,10
116,5
117,1
118,1
119,1
120,1
121,9
122,6
123,6
124,9
125,14
126,1
127,1
128,1
129,1
130,1
131,7
132,1
133,10
134,3
135,1
136,1
137,1
138,21
139,1
140,1
141,1
142,1
143,27
144,1
145,7
146,12
147,1
148,6
149,1
150,28
151,1
152,1
153,1
154,1
155,1
156,1
2,29
157,1
158,1
2,30
159,7
160,9
161,1
162,1
163,7
164,1
165,1
166,1
167,5
2,31
168,1
169,25
170,6
171,17
172,1
173,5
174,6
175,6
176,10
177,1
178,1
179,6
180,1
181,32
182,33
183,6
184,1
185,12
