id,name
1,Newt spleens
2,Bananas
3,Valerian sprigs
4,Aconite
5,Dittany
6,Leaping Toadstools
7,Frog Brains
8,Runespoor eggs
9,Powdered dragon claw
10,Scurvy grass
11,Lovage
12,Sneezewort
13,Bursting mushrooms
14,Salamander blood
15,Wartcap powder
16,Dragon claw
17,Dark yellow in colour
18,Dried nettles
19,6 snake fangs
20,4 horned slugs
21,2 porcupine quills
22,Pungous Onions
23,Flobberworm Mucus
24,Ginger root
25,Shrake spines
26,Bundimun Ooze
27,Streeler shells
28,Dragon liver
29,Hemlock essence
30,Tormentil tincture
31,Cowbane essence
32,Standard potioning water
33,Powdered Root of Asphodel
34,Infusion of Wormwood
35,Valerian root
36,A Sopophorous bean
37,A Sloth brain
38,Powdered moonstone
39,Syrup of Hellebore
40,Powdered Unicorn horn
41,Powdered Porcupine quills
42,Emerald green in colour
43,Glows phosphorescently
44,Philosopher's Stone
45,Shrivelfig
46,Porcupine quills
47,Peppermint sprigs
48,Sopophorous beans
49,Wormwood
50,Bubotuber Pus
51,Gravy
52,Ashwinder egg
53,Squill bulb
54,Murtlap tentacle
55,Tincture of thyme
56,Occamy eggshell
57,Powdered common rue
58,Onion juice
59,Jewelweed
60,Neem oil
61,Repels Flesh-Eating Slugs
62,2 drops of Lethe River Water
63,2 Valerian sprigs
64,2 measures of Standard Ingredient
65,4 mistletoe berries
66,Rat tails
67,Billywig stings
68,Flobberworm mucus
69,Horklump juice
70,Lionfish spines
71,Standard Ingredient
72,Alihotsy leaves
73,Dried billywig stings
74,Peppermint
75,Stewed Mandrake
76,Honeywater
77,Vervain
78,infusion
79,Two scrumples of an unknown ingredient
80,An ingredient used in a furnace
81,Agrimonia
82,Wiggentree twigs
83,Castor oil
84,Extract of Gurdyroot
85,Pale green in colour
86,Murtlap tentacles
87,Bicorn horn
88,Mandrake root
89,Lacewing flies (stewed 21 days)
90,Leeches
91,Powdered bicorn horn
92,Knotgrass
93,Fluxweed (picked at full moon)
94,Shredded Boomslang skin
95,A bit of the person one wants to turn into (typically hair)
96,Bone of the father
97,Flesh of a servant
98,Blood of a foe
99,Snake venom
100,Unicorn blood
101,Minced daisy roots
102,Peeled Shrivelfig
103,Sliced caterpillars
104,One rat spleen
105,A dash of leech juice
106,A splash of cowbane
107,1 Chinese Chomping Cabbage
108,3 Puffer-fish
109,5 Scarab beetles
110,Gomas Barbadensis
111,Asian Dragon Hair
112,Petroleum Jelly
113,4 sprigs of Lavender
114,6 measures of Standard Ingredient
115,2 blobs of Flobberworm Mucus
116,4 Valerian sprigs
117,Powdered  Griffin claw
118,Puffer-fish eyes
119,Dried nettle
120,Bat spleens
121,Jobberknoll feathers
122,4 measures of Standard Ingredient
123,6 dried Billywig stings
124,2 sprigs of Wolfsbane
125,Ground scarab beetles
126,Cut ginger roots
127,Armadillo bile
128,Wolfsbane
