id,name
1,Summons an object
2,Prevents people above or below a certain age from access to a target
3,Conjures water
4,Rockets target upward
5,Great Force
6,Unlocks target
7,Clears airway
8,Grows antlers on head
9,Prevents cheating
10,Prevents Disapparition within a certain area
11,Repels intruders
12,Injuries capable of killing
13,Reveals hidden writing
14,"Reveals traces of magic, including footprints and track marks"
15,Magically transports the caster
16,Jet of water
17,Repels spiders
18,Slows or stops target's velocity
19,Fires arrows from the caster's wand
20,Lifts caster
21,Instantaneous death
22,Transforms the target into a bird.
23,Turns object into tracking device
24,Conjures birds
25,Uncontrollable babbling
26,Turns target human into a badger
27,Transforms target's bogeys into bats
28,Jet of white sparks
29,Disguises things
30,Charms snowballs to follow and harass a designated target
31,Conjures bluebell flames
32,Jet of blue sparks
33,Small explosion
34,Powerful explosion
35,Mends bones
36,Enhances teammates against foes
37,Conjures bridges
38,Makes a broomstick attempt to buck its rider off
39,Creates bubble protecting the head
40,Creates a stream of non-bursting bubbles
41,Removes victim's hair
42,Makes target sing
43,Increases interior space
44,"Pull caster towards object, Pull object towards caster"
45,Attacks multiple enemies
46,Sets off a high-pitched shriek if entered
47,Turns a cauldron into a sieve
48,Transforms a cauldron into a badger.
49,Concealment
50,Creates joy
51,Rotates an object
52,Opens chests
53,Locks doors
54,Sticks shoes to floor
55,Changes colour
56,Explosion
57,Confuses the target
58,Irritates eyes
59,Makes skin appear like cornflakes
60,Conjures exploding Wizard Crackers
61,Assists the caster in cheating on written papers.
62,Transforms hair
63,Excruciating pain
64,Carves through material
65,Erases image from Reverse Spell
66,Elongates teeth
67,Blasts holes in ground
68,Sends target away
69,Lowers target
70,Transfigures desks into pigs
71,Impairs foes
72,Cuts objects
73,Shrinks objects
74,Reveals secret passages
75,Disguises target as surroundings
76,Turns object into dragon
77,Dries up small bodies of water
78,Turns organisms to ducks
79,Turns object to stone
80,Transfigures target's ears into kumquats
81,Causes ears to wither
82,Traps target in giant bubble
83,Causes swelling
84,Swells head
85,Turns into insect
86,Expels entrails
87,Bonds two objects
88,Erects a structure
89,Vanishes objects
90,Vanishes things
91,"Makes opponent stumble, Causes sharp pain"
92,Conjures a spirit guardian
93,Disarms an opponent
94,Blows things up
95,Extinguishes fires
96,Implants a false memory in the victim
97,Minimises object's weight
98,Changes ferrets into humans
99,Bandages target
100,Most likely hardens magical shields
101,Conceals a secret
102,Unleashes cursed fire
103,Shatters glass
104,Terminates all spell effects
105,Removes a person's fingers
106,Ring of fire
107,Causes objects to burn on contact
108,Writes in midair
109,Makes fire harmless
110,Conjures flask
111,Turns target into matchboxes
112,Knocks target back
113,More powerful version of Flipendo
114,Allows an object to fly
115,Defensive smokescreen
116,Multiple concealing smokescreens
117,Causes pimples to erupt
118,Causes fur to grow on someone
119,Duplicates an object
120,Freezes target
121,Freezes the target
122,Freezes target enemy
123,Turns stairs into a slide
124,Jet of green sparks
125,Makes holding easier
126,Causes hair to grow longer and thicker
127,Repairs Vanishing Cabinets
128,Transforms target into flowers
129,Rapidly grows plants
130,"Causes boils to spell ""SNEAK"" on the face of a traitor"
131,Offensive spells; will follow their target
132,Reveals human presence
133,"When cast onto a map, it enables to track the movements of every person in the mapped area"
134,"May temporarily change a transformed werewolf back into their human form (according to Gilderoy Lockhart, it cures lycanthropy)"
135,Transforms target's tongue into a horn
136,Allow broomsticks to brake more easily
137,Prepared a receptacle to become a Horcrux
138,Jet of hot air
139,Reverses time
140,Makes objects hover
141,"Unclear, possibly causes a broomstick to attempt to hurl its rider off."
142,Makes text illegible
143,Stops movement and actions of the target
144,Hinders movement
145,Total control over the victim
146,Invisible barrier
147,Waterproofs an object
148,Presumably conjuresinanimate objects
149,Binds target in ropes
150,Conjures flames
151,Conjures blue flames
152,Inflates target
153,Adds to the Folio Bruti
154,Instantly scalps hair
155,Detects intruders and sounds an alarm
156,Legs become wobbly
157,Dulls mental abilities
158,Fingers become wobbly
159,Puts knees on backward
160,Ignites cloaks
161,Sticks tongue to roof of the mouth
162,Turns target into rabbit
163,Leeks sprout from ears
164,Lets caster see into the mind of another person
165,Suspends people by the ankles
166,Counteracts Levicorpus
167,Moves objects in midair
168,Sticks legs together
169,Illuminates the wand tip
170,Focused beam of light
171,Produces bright light
172,Produces sunlight
173,Temporarily increases casters' spell power
174,Encases head in pumpkin
175,Causes weather effects caused by incantations to cease
176,Ties tongue in knot
177,Produces special fog (for concealment of certain locations)
178,Levitates wooden things
179,Moves bodies
180,Invisible cushion
181,Conjures Dark Mark
182,Nasty cold & runny nose
183,Conceals sound
184,Changes clothes
185,Grows extra heads
186,Extinguishes wandlight
187,Conjures fog
188,Repairs glasses
189,Removes footprints
190,Erases memories
191,Blindfolds target
192,Assaults target with directed object(s)
193,Sucks the target into the ground
194,Conjures flowers
195,Seals mouth
196,Packs luggage
197,Mends torn paper
198,Makes the user daydream for 30 minutes
199,Parts the target
200,Inflicts fiery hot breath
201,Burst of red sparks
202,Sticks object permanently in place
203,Nothing (supposedly captures pixies)
204,Temporary Paralysis
205,Animates target
206,Turns target into fish
207,Places object on target
208,Wand points due north
209,Turns object into Portkey
210,Shows the previous spells cast by a wand
211,Links objects
212,Reflects spells and blocks physical forces
213,Ring of protective black fire that only burns the caster's enemies whilst leaving their allies unharmed
214,Summons a powerful protective barrier
215,Summons a large protective barrier
216,Shields an area
217,Exploding firecrackers
218,Causes yellowish goo to squirt from one's nose
219,Quietens target
220,Shrinks head
221,Shrinks target
222,Destroys solid objects
223,Refills beverage containers
224,Heals minor magically induced ailments
225,Returns objects to their original positions or states
226,Forces target to let go
227,Awakens victim
228,Reverses the effects of an incomplete Transformation spell
229,Fixes broken objects
230,Repels Muggles
231,"Repels enemies. If used with Protego Maxima and Fianto Duri, it disintegrates anything that comes in contact with the barrier."
232,Reveals secrets about a person or object
233,Tickles and weakens
234,Turns a Boggart into something amusing
235,Accelerates the growth of a rosebush
236,Causes a rowboat to propel itself.
237,Hex deflection
238,Victim sneezes sardines
239,Conjures sauce
240,Creates fire
241,Cleans objects
242,Seals envelopes
243,Makes tiny spikes erupt all over the victim
244,Lacerates target
245,Used to break down magical shields
246,Small explosion with a gunshot-sound
247,Explosive
248,Conjures snake
249,Silences target
250,"Cleans ectoplasm, Frightens ghosts and other spirits"
251,Makes object slippery
252,Victim vomits slugs
253,Emits a magnified roar from the tip of the wand
254,Loudens target
255,Reveals spells cast on objects or potions
256,Causes the target's legs to become spongy
257,Softens objects
258,Transfigures writing quills into worms
259,Detects those under magicaldisguise.
260,Causes target to sneeze
261,Stings flesh
262,Expands the target
263,Knocks out target
264,Superior perception
265,Removes enchantments
266,Switches two objects
267,"When a word is spoken, the caster is alerted and protective enchantments around the speaker are weakened."
268,Gives the victim a tail
269,Sends legs out of control
270,Transforms a teacup into a tortoise
271,Transforms a teapot into a tortoise
272,Straightens teeth
273,Makes objects teleport elsewhere
274,Turns victim's head into tentacle
275,Cleans up objects
276,Causes its victim's toenails to grow alarmingly fast
277,"Tortures, possibly by transfiguring the target to death"
278,Trips victim
279,Makes victim's ears twitch
280,Makes object unbreakable
281,Magical vow that is fatal if broken
282,Allows a witch or wizard to fly unaided
283,Cleans an object like a vacuum cleaner
284,Jet of spiralling wind
285,Creates a stronger jet of wind compared to Ventus
286,Transforms animals into water goblets
287,Causes the wand tip to burn like a sparkler whilst damaging the foe.
288,"Emits green sparks from the wand that can: Do damage to opponents , Reveal hidden things"
289,Turns things into worms
290,Jet of red sparks
291,Vanishes snakes
292,"Slows blood flow, Clears residue, Knits wounds"
293,Propels wad at the target
294,Cleans dishes
295,Makes objects fly
296,Heals minor injuries
