id,name
1,Charm
2,"Charm, Conjuration"
3,Spell
4,"Healing spell, Vanishment"
5,Hex
6,Jinx
7,Curse
8,Transportation
9,Conjuration
10,Transfiguration
11,"Conjuration, Charm"
12,"Healing spell, Charm"
13,Transformation
14,Dark charm
15,"Charm, Counter-charm"
16,"Transfiguration, Jinx"
17,Transfiguration Jinx
18,Transfiguration spell
19,"Healing Spell, Charm, Conjuration"
20,Counter-spell
21,Dark Arts
22,"Curse, Jinx"
23,Counter-jinx
24,"Conjuration, Jinx"
25,Counter-charm
26,Patented Charm
27,"Hex, Counter-curse"
28,Untransfiguration
29,"Charm, Transfiguration"
30,Transfiguration jinx
31,"Jinx, Hex"
32,Vanishment
33,"Healing spell, Counter-curse"
